OBJECTID,AAC,District Number,DIST_NAME,State Code,Source,Fire Behaviour Index,Fire Danger,Forecast_Period,Start_Time,End_Time,Start_Time_UTC_str,End_Time_UTC_str
56,QLD_FW015,15,Southeast Coast,QLD,BOM,9,No Rating,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
57,SA_FW001,1,Adelaide Metropolitan,SA,BOM,7,No Rating,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
58,SA_FW002,2,Yorke Peninsula,SA,BOM,15,Moderate,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
59,SA_FW003,3,Kangaroo Island,SA,BOM,12,Moderate,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
60,SA_FW004,4,Upper South East,SA,BOM,10,No Rating,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
61,SA_FW005,5,Lower South East,SA,BOM,10,No Rating,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
62,SA_FW006,6,Riverland,SA,BOM,11,No Rating,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
63,SA_FW007,7,Murraylands,SA,BOM,13,Moderate,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
64,SA_FW008,8,Mid North,SA,BOM,9,No Rating,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
65,SA_FW009,9,Flinders,SA,BOM,8,No Rating,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
66,SA_FW010,10,West Coast,SA,BOM,13,Moderate,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
67,SA_FW011,11,Eastern Eyre Peninsula,SA,BOM,11,No Rating,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
68,SA_FW012,12,Lower Eyre Peninsula,SA,BOM,11,No Rating,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
69,SA_FW013,13,North West Pastoral,SA,BOM,12,Moderate,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
70,SA_FW014,14,North East Pastoral,SA,BOM,15,Moderate,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
71,SA_FW015,15,Mount Lofty Ranges,SA,BOM,10,No Rating,1,5/3/2026 2:30:00 PM,5/4/2026 2:30:00 PM,2026-05-03T14:30:00Z,2026-05-04T14:30:00Z
72,TAS_FW001,1,Furneaux Islands,TAS,BOM,12,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
73,TAS_FW002,2,North East,TAS,BOM,11,No Rating,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
74,TAS_FW003,3,East Coast,TAS,BOM,18,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
75,TAS_FW004,4,Central North,TAS,BOM,13,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
76,TAS_FW005,5,Midlands,TAS,BOM,18,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
77,TAS_FW006,6,South East,TAS,BOM,17,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
78,TAS_FW007,7,Upper Derwent Valley,TAS,BOM,16,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
79,TAS_FW008,8,Central Plateau,TAS,BOM,13,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
80,TAS_FW009,9,Western,TAS,BOM,12,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
81,TAS_FW010,10,North West Coast,TAS,BOM,6,No Rating,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
82,TAS_FW011,11,King Island,TAS,BOM,6,No Rating,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
83,VIC_FW001,1,Mallee,VIC,BOM,18,Moderate,1,5/3/2026 7:41:00 PM,5/4/2026 2:00:00 PM,2026-05-03T19:41:00Z,2026-05-04T14:00:00Z
84,VIC_FW002,2,Wimmera,VIC,BOM,19,Moderate,1,5/3/2026 7:41:00 PM,5/4/2026 2:00:00 PM,2026-05-03T19:41:00Z,2026-05-04T14:00:00Z
85,VIC_FW003,3,Northern Country,VIC,BOM,16,Moderate,1,5/3/2026 7:41:00 PM,5/4/2026 2:00:00 PM,2026-05-03T19:41:00Z,2026-05-04T14:00:00Z
